Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,# trades,Taker Buy Base,Taker Buy Quote
2021-01-01 20:00:00,37.427,37.968,37.17,37.795,244863.94,2021-01-01 23:59:59,9192088.83359,34136,128986.79,4842870.25802
2021-01-02 00:00:00,37.795,37.823,36.79,37.591,438889.78,2021-01-02 03:59:59,16314965.55461,44321,193700.53,7206639.52366
2021-01-02 04:00:00,37.588,37.819,37.378,37.389,180599.81,2021-01-02 07:59:59,6782104.95933,24809,97042.33,3645660.58886
2021-01-02 08:00:00,37.389,37.499,36.993,37.345,215572.39,2021-01-02 11:59:59,8024705.12342,32591,107530.71,4003374.1336
2021-01-02 12:00:00,37.349,38.3,36.881,38.189,605168.99,2021-01-02 15:59:59,22894663.99629,54181,271031.28,10256707.79969
2021-01-02 16:00:00,38.193,39.06,38.0,38.118,792433.82,2021-01-02 19:59:59,30448466.47059,66706,343790.62,13213371.12212
2021-01-02 20:00:00,38.124,38.39,37.2,38.271,556843.17,2021-01-02 23:59:59,21094105.01252,52669,264149.96,10010740.82936
2021-01-03 00:00:00,38.271,38.455,37.951,38.014,180050.27,2021-01-03 03:59:59,6867803.80328,26640,82874.74,3162759.96663
2021-01-03 04:00:00,38.014,38.31,37.838,38.101,329937.68,2021-01-03 07:59:59,12564768.66756,37934,132956.18,5065551.72353
2021-01-03 08:00:00,38.101,40.0,38.101,39.975,1107409.33,2021-01-03 11:59:59,43088970.26667,90042,545766.7,21255808.80405
2021-01-03 12:00:00,39.99,41.566,39.6,40.355,2081376.95,2021-01-03 15:59:59,84355275.93274,143636,940241.35,38124588.45812
2021-01-03 16:00:00,40.349,41.906,40.23,40.451,1289081.59,2021-01-03 19:59:59,52724421.6139,98958,576726.79,23602525.52485
2021-01-03 20:00:00,40.455,41.83,40.446,41.3,743900.32,2021-01-03 23:59:59,30521138.1348,60390,336973.8,13829637.81617
2021-01-04 00:00:00,41.301,42.307,41.301,41.463,777183.99,2021-01-04 03:59:59,32438148.94712,67220,335813.41,14023250.77515
2021-01-04 04:00:00,41.468,43.646,40.5,40.976,1711066.35,2021-01-04 07:59:59,71610893.09373,120419,800264.63,33508866.10294
2021-01-04 08:00:00,40.925,41.488,38.011,39.094,2201762.66,2021-01-04 11:59:59,87893632.99142,168229,993896.5,39676251.5413
2021-01-04 12:00:00,39.1,40.294,38.882,39.93,760807.04,2021-01-04 15:59:59,30164278.06189,62604,354905.03,14077337.29764
2021-01-04 16:00:00,39.94,40.17,38.893,39.995,650473.84,2021-01-04 19:59:59,25751211.62583,60371,285506.1,11305212.58661
2021-01-04 20:00:00,39.994,41.152,39.338,41.142,502403.09,2021-01-04 23:59:59,20144681.6276,51216,244880.17,9825539.43718
2021-01-05 00:00:00,41.126,41.3,39.6,39.803,969497.64,2021-01-05 03:59:59,39484885.88891,73817,416677.46,16990964.32884
2021-01-05 04:00:00,39.805,40.202,38.844,39.676,738015.05,2021-01-05 07:59:59,29191254.54708,64455,340048.32,13453745.61068
2021-01-05 08:00:00,39.683,40.767,39.678,40.742,558941.52,2021-01-05 11:59:59,22486068.4185,50906,260500.43,10485040.14207
2021-01-05 12:00:00,40.751,40.79,39.56,40.244,521960.83,2021-01-05 15:59:59,20962742.37892,46583,221697.02,8902139.11842
2021-01-05 16:00:00,40.246,40.627,39.786,40.464,592890.43,2021-01-05 19:59:59,23910182.68649,47637,251421.86,10140269.9796
2021-01-05 20:00:00,40.464,41.807,40.13,41.799,775978.03,2021-01-05 23:59:59,31765449.06496,58906,358337.71,14671153.95769
2021-01-06 00:00:00,41.806,41.951,40.53,40.923,555714.45,2021-01-06 03:59:59,22847883.92497,48152,233851.47,9616212.86286
2021-01-06 04:00:00,40.923,41.562,40.732,41.053,464530.49,2021-01-06 07:59:59,19089248.63272,44952,193175.61,7938706.64196
2021-01-06 08:00:00,41.049,41.973,40.6,41.75,545180.05,2021-01-06 11:59:59,22502347.70083,52609,231298.26,9553238.90571
2021-01-06 12:00:00,41.751,42.328,41.221,41.414,627027.22,2021-01-06 15:59:59,26221827.03241,66529,264246.57,11054200.93843
2021-01-06 16:00:00,41.419,42.239,41.0,41.066,588139.8,2021-01-06 19:59:59,24559614.99988,52464,268681.1,11226361.20988
2021-01-06 20:00:00,41.066,42.3,40.837,42.288,604671.28,2021-01-06 23:59:59,25130673.12362,55255,286886.16,11920159.71711
2021-01-07 00:00:00,42.286,42.42,41.488,42.28,407732.55,2021-01-07 03:59:59,17121536.92015,46927,171961.68,7225103.52983
2021-01-07 04:00:00,42.28,44.208,41.88,43.238,920785.9,2021-01-07 07:59:59,39769503.41712,89423,445040.26,19217503.95732
2021-01-07 08:00:00,43.238,44.377,42.154,43.918,750392.62,2021-01-07 11:59:59,32649146.46769,71840,353963.84,15417998.50484
2021-01-07 12:00:00,43.923,44.56,43.72,44.45,450046.03,2021-01-07 15:59:59,19861978.86643,51184,203046.13,8962885.85354
2021-01-07 16:00:00,44.463,44.928,41.3,43.313,1588473.57,2021-01-07 19:59:59,68349450.10058,109660,710380.05,30560665.52717
2021-01-07 20:00:00,43.33,43.932,42.735,43.57,546748.19,2021-01-07 23:59:59,23742191.10316,54999,243947.9,10596988.17669
2021-01-08 00:00:00,43.566,43.69,40.054,41.541,1017267.73,2021-01-08 03:59:59,42603673.38653,83044,452887.6,18970406.83333
2021-01-08 04:00:00,41.54,42.545,41.071,42.515,509276.07,2021-01-08 07:59:59,21290135.57434,49976,254134.24,10625955.64903
2021-01-08 08:00:00,42.513,43.579,42.158,43.157,663123.77,2021-01-08 11:59:59,28486250.48521,63243,304761.93,13088269.45452
2021-01-08 12:00:00,43.17,43.257,41.748,42.42,730876.68,2021-01-08 15:59:59,31149588.73045,61386,342830.69,14614438.01419
